date,open,high,low,close,volume
2025-06-30 04:00:00+00:00,560.88,562.51,558.78,561.4,5750571
2025-07-01 04:00:00+00:00,559.95,562.16,559.2,561.14,7412742
2025-07-02 04:00:00+00:00,560.75,563.68,560.19,563.63,6164018
2025-07-03 04:00:00+00:00,565.5,568.95,565.45,568.51,4836910
2025-07-07 04:00:00+00:00,566.31,566.89,561.35,563.95,6417829
2025-07-08 04:00:00+00:00,564.48,565.15,562.83,563.57,6944624
2025-07-09 04:00:00+00:00,565.78,567.56,564.1,566.91,7156477
2025-07-10 04:00:00+00:00,567.08,569.53,566.01,568.57,4961691
2025-07-11 04:00:00+00:00,565.77,567.67,564.7,566.53,4428852
2025-07-14 04:00:00+00:00,566.16,567.97,564.91,567.65,4747041
2025-07-15 04:00:00+00:00,570.12,570.42,565.17,565.18,5398956
2025-07-16 04:00:00+00:00,566.71,567.56,561.54,567.04,6139706
2025-07-17 04:00:00+00:00,567.32,570.91,567.1,570.44,6495346
2025-07-18 04:00:00+00:00,571.72,571.75,569.12,570.19,4261519
2025-07-21 04:00:00+00:00,571.23,573.75,570.85,571.2,5913837
2025-07-22 04:00:00+00:00,571.53,572.08,568.92,571.2,4767703
2025-07-23 04:00:00+00:00,573.79,576.15,572.11,576.06,4257345
2025-07-24 04:00:00+00:00,576.53,577.92,575.92,576.45,3840901
2025-07-25 04:00:00+00:00,576.99,579.2,576.78,578.74,4210090
2025-07-28 04:00:00+00:00,579.2,579.65,577.42,578.61,4193101
2025-07-29 04:00:00+00:00,579.97,580.23,576.31,577.1,5053447
2025-07-30 04:00:00+00:00,577.83,579.31,573.77,576.4,6974005
2025-07-31 04:00:00+00:00,580.97,581.3,573.07,574.24,7046843
2025-08-01 04:00:00+00:00,569.01,569.02,562.64,564.78,8781254
2025-08-04 04:00:00+00:00,568.46,573.44,568.37,573.37,6640089
2025-08-05 04:00:00+00:00,574.01,574.71,569.67,570.61,4647381
2025-08-06 04:00:00+00:00,571.5,575.47,570.67,574.85,4545015
2025-08-07 04:00:00+00:00,578.04,578.68,571.56,574.5,4594260
2025-08-08 04:00:00+00:00,576.13,579.33,575.8,578.9,4342341
2025-08-11 04:00:00+00:00,579.19,580.5,576.63,577.72,5373949
2025-08-12 04:00:00+00:00,579.9,584.06,578.6,583.88,5874245
2025-08-13 04:00:00+00:00,585.94,587.1,583.91,585.92,5392973
2025-08-14 04:00:00+00:00,584.02,586.58,583.61,585.93,6236666
2025-08-15 04:00:00+00:00,586.93,587.02,583.76,584.66,7196315
2025-08-18 04:00:00+00:00,584.08,585.11,583.46,584.46,5311743
2025-08-19 04:00:00+00:00,584.35,585.21,580.09,581.26,6739284
2025-08-20 04:00:00+00:00,580.95,581.14,575.06,579.73,7113572
2025-08-21 04:00:00+00:00,578.1,579.61,575.85,577.45,4807277
2025-08-22 04:00:00+00:00,579.43,587.38,579.0,586.29,6389278
2025-08-25 04:00:00+00:00,585.14,586.3,583.66,583.8,6483035
2025-08-26 04:00:00+00:00,583.49,586.5,582.91,586.14,4776577
2025-08-27 04:00:00+00:00,585.6,588.19,585.52,587.48,6171422
2025-08-28 04:00:00+00:00,588.12,590.1,586.34,589.56,5058689
2025-08-29 04:00:00+00:00,588.29,588.6,584.34,586.16,7505851
2025-09-02 04:00:00+00:00,579.22,581.93,576.86,581.84,11116704
2025-09-03 04:00:00+00:00,583.91,585.32,581.91,584.81,8205922
2025-09-04 04:00:00+00:00,585.55,589.8,584.69,589.63,8045575
2025-09-05 04:00:00+00:00,591.92,592.6,584.55,588.01,6639674
2025-09-08 04:00:00+00:00,589.35,590.44,588.08,589.54,9472235
2025-09-09 04:00:00+00:00,589.65,591.38,588.06,590.97,7844787
2025-09-10 04:00:00+00:00,593.91,594.73,591.18,592.68,21641066
2025-09-11 04:00:00+00:00,594.41,598.16,593.88,597.51,9106446
2025-09-12 04:00:00+00:00,597.53,598.91,596.9,597.38,8130498
2025-09-15 04:00:00+00:00,599.39,600.68,599.12,600.5,7710693
2025-09-16 04:00:00+00:00,601.06,601.32,598.99,599.71,6393185
2025-09-17 04:00:00+00:00,599.76,601.23,594.53,599.01,11613628
2025-09-18 04:00:00+00:00,601.45,604.17,599.98,601.83,11057482
2025-09-19 04:00:00+00:00,603.49,605.52,601.74,604.64,6065655
2025-09-22 04:00:00+00:00,603.39,608.04,603.38,607.58,11583809
2025-09-23 04:00:00+00:00,607.53,608.08,603.22,604.4,10752999
2025-09-24 04:00:00+00:00,605.48,605.59,601.09,602.38,23787299
2025-09-25 04:00:00+00:00,599.54,600.83,596.31,599.51,6965655
2025-09-26 04:00:00+00:00,600.93,603.57,599.48,603.04,6438634
2025-09-29 04:00:00+00:00,605.39,606.27,603.1,604.73,5658835
2025-09-30 04:00:00+00:00,604.04,607.44,602.89,606.96,6515666
2025-10-01 04:00:00+00:00,604.31,609.95,604.18,609.13,10019981
2025-10-02 04:00:00+00:00,610.96,611.03,607.6,609.81,7139472
2025-10-03 04:00:00+00:00,610.5,612.95,608.85,609.86,7210689
2025-10-06 04:00:00+00:00,612.0,612.81,610.03,611.94,6056437
2025-10-07 04:00:00+00:00,612.83,613.27,608.39,609.76,7466277
2025-10-08 04:00:00+00:00,610.76,613.42,610.02,613.3,5035243
2025-10-09 04:00:00+00:00,613.75,614.11,609.84,611.64,5898496
2025-10-10 04:00:00+00:00,612.52,614.12,594.92,595.2,13664157
2025-10-13 04:00:00+00:00,602.0,605.62,601.21,604.22,6968434
2025-10-14 04:00:00+00:00,598.85,606.72,595.2,603.36,7493479
2025-10-15 04:00:00+00:00,607.65,610.75,600.46,606.02,6504851
2025-10-16 04:00:00+00:00,607.69,609.36,598.8,602.02,7594824
2025-10-17 04:00:00+00:00,600.98,606.61,599.75,605.36,6910972
2025-10-20 04:00:00+00:00,608.08,612.54,608.08,611.71,4086209
2025-10-21 04:00:00+00:00,611.87,613.27,610.53,611.63,4216177
2025-10-22 04:00:00+00:00,612.36,612.36,604.43,608.54,6961589
2025-10-23 04:00:00+00:00,608.82,613.0,608.56,611.98,5851842
2025-10-24 04:00:00+00:00,616.42,618.27,615.71,617.04,5694867
2025-10-27 04:00:00+00:00,622.19,624.71,621.61,624.43,7804316
2025-10-28 04:00:00+00:00,626.12,627.79,624.07,626.1,5625627
2025-10-29 04:00:00+00:00,627.61,628.52,622.32,626.36,6104537
2025-10-30 04:00:00+00:00,623.25,625.05,619.57,619.71,6243275
2025-10-31 04:00:00+00:00,624.27,624.37,618.98,621.49,7058629
2025-11-03 05:00:00+00:00,624.84,624.96,619.63,622.71,5568052
2025-11-04 05:00:00+00:00,616.15,619.64,614.71,615.5,8390532
2025-11-05 05:00:00+00:00,615.1,620.46,614.35,617.35,10323060
2025-11-06 05:00:00+00:00,616.46,617.28,609.38,610.79,7099355
2025-11-07 05:00:00+00:00,608.66,611.56,602.54,611.43,7571254
2025-11-10 05:00:00+00:00,617.18,621.66,615.17,620.93,8424969
2025-11-11 05:00:00+00:00,619.63,622.93,618.55,622.35,5639205
2025-11-12 05:00:00+00:00,624.08,624.2,620.56,622.66,6090220
