date,open,high,low,close,volume
2025-06-30 08:00:00+00:00,201.2,201.52,200.89,201.29,57916
2025-06-30 09:00:00+00:00,201.28,201.67,201.28,201.41,24921
2025-06-30 10:00:00+00:00,201.45,201.71,201.45,201.7,35249
2025-06-30 11:00:00+00:00,201.68,201.94,201.54,201.6,77638
2025-06-30 12:00:00+00:00,201.6,201.94,199.79,201.1,442279
2025-06-30 13:00:00+00:00,201.12,201.39,199.76,199.97,5631285
2025-06-30 14:00:00+00:00,199.96,200.58,198.8,199.18,8217859
2025-06-30 15:00:00+00:00,199.18,199.49,198.84,199.24,5410033
2025-06-30 16:00:00+00:00,199.25,199.69,199.06,199.33,4112138
2025-06-30 17:00:00+00:00,199.33,199.55,199.11,199.48,3920062
2025-06-30 18:00:00+00:00,199.48,201.88,198.47,201.12,10426672
2025-06-30 19:00:00+00:00,201.11,206.57,201.09,204.31,32390259
2025-06-30 20:00:00+00:00,204.25,205.48,203.85,204.64,20587402
2025-06-30 21:00:00+00:00,204.45,204.81,204.32,204.59,195236
2025-06-30 22:00:00+00:00,204.6,204.69,204.19,204.43,177992
2025-06-30 23:00:00+00:00,204.39,205.15,204.36,204.63,182346
2025-07-01 08:00:00+00:00,204.69,204.78,203.8,204.61,124932
2025-07-01 09:00:00+00:00,204.64,204.7,204.35,204.6,28497
2025-07-01 10:00:00+00:00,204.61,204.95,204.61,204.95,45833
2025-07-01 11:00:00+00:00,204.91,205.75,204.89,205.45,189440
2025-07-01 12:00:00+00:00,204.99,206.65,203.63,206.38,1020949
2025-07-01 13:00:00+00:00,206.39,208.28,204.36,208.26,16616758
2025-07-01 14:00:00+00:00,208.23,209.07,206.65,208.13,16427923
2025-07-01 15:00:00+00:00,208.13,209.36,205.97,206.48,11742725
2025-07-01 16:00:00+00:00,206.48,207.71,206.32,206.36,7014418
2025-07-01 17:00:00+00:00,206.36,207.55,206.27,207.33,4947326
2025-07-01 18:00:00+00:00,207.33,207.61,207.03,207.19,4107549
2025-07-01 19:00:00+00:00,207.2,207.53,206.56,207.04,8404572
2025-07-01 20:00:00+00:00,207.04,208.97,206.95,208.4,7567164
2025-07-01 21:00:00+00:00,208.34,208.67,207.0,208.37,401709
2025-07-01 22:00:00+00:00,208.37,208.47,208.17,208.35,56668
2025-07-01 23:00:00+00:00,208.24,208.46,207.97,208.09,70474
2025-07-02 08:00:00+00:00,208.55,208.79,208.18,208.36,54046
2025-07-02 09:00:00+00:00,208.45,208.72,208.38,208.63,31389
2025-07-02 10:00:00+00:00,208.66,208.74,208.47,208.51,49149
2025-07-02 11:00:00+00:00,208.52,209.49,208.37,209.22,204728
2025-07-02 12:00:00+00:00,209.28,210.09,208.35,208.81,974068
2025-07-02 13:00:00+00:00,208.87,212.5,207.32,211.78,15803482
2025-07-02 14:00:00+00:00,211.78,212.13,210.44,211.07,12396006
2025-07-02 15:00:00+00:00,211.08,211.75,210.4,210.71,6505778
2025-07-02 16:00:00+00:00,210.72,211.08,209.39,210.27,6032793
2025-07-02 17:00:00+00:00,210.27,210.88,209.6,210.77,4231458
2025-07-02 18:00:00+00:00,210.77,211.66,210.33,211.43,4469981
2025-07-02 19:00:00+00:00,211.43,212.12,211.0,211.57,10458015
2025-07-02 20:00:00+00:00,211.51,211.8,211.01,211.02,6606619
2025-07-02 21:00:00+00:00,211.0,211.6,210.99,211.24,47696
2025-07-02 22:00:00+00:00,211.18,211.56,211.08,211.16,18998
2025-07-02 23:00:00+00:00,211.17,211.32,211.17,211.27,33095
2025-07-03 08:00:00+00:00,211.96,212.25,211.25,211.29,71308
2025-07-03 09:00:00+00:00,211.29,211.43,209.58,209.6,82701
2025-07-03 10:00:00+00:00,209.59,210.07,209.02,210.07,118750
2025-07-03 11:00:00+00:00,210.07,210.68,210.03,210.31,72586
2025-07-03 12:00:00+00:00,210.09,212.12,208.98,210.96,426434
2025-07-03 13:00:00+00:00,210.95,212.95,210.89,212.49,7387261
2025-07-03 14:00:00+00:00,212.49,213.56,212.2,213.11,9357718
2025-07-03 15:00:00+00:00,213.12,213.8,212.83,213.48,6259814
2025-07-03 16:00:00+00:00,213.49,213.65,212.49,212.75,6270747
2025-07-03 17:00:00+00:00,212.49,212.71,212.35,212.51,4723692
2025-07-03 18:00:00+00:00,212.5,212.51,212.36,212.41,36590
2025-07-03 19:00:00+00:00,212.37,212.78,212.27,212.55,81869
2025-07-03 20:00:00+00:00,212.56,212.75,212.51,212.71,35344
2025-07-07 08:00:00+00:00,212.73,212.73,210.75,210.86,96514
2025-07-07 09:00:00+00:00,210.91,211.28,210.58,211.26,38058
2025-07-07 10:00:00+00:00,211.18,211.75,211.18,211.52,54667
2025-07-07 11:00:00+00:00,211.58,211.8,211.45,211.76,38056
2025-07-07 12:00:00+00:00,211.61,212.33,210.68,211.52,291400
2025-07-07 13:00:00+00:00,211.52,215.38,211.07,212.1,9134589
2025-07-07 14:00:00+00:00,212.09,212.28,210.76,211.27,6317231
2025-07-07 15:00:00+00:00,211.28,211.76,210.69,210.91,3876914
2025-07-07 16:00:00+00:00,210.9,211.38,209.07,209.8,5807288
2025-07-07 17:00:00+00:00,209.8,209.96,208.69,209.22,4131898
2025-07-07 18:00:00+00:00,209.23,209.38,207.97,208.93,4547933
2025-07-07 19:00:00+00:00,208.94,209.42,208.36,209.11,6887856
2025-07-07 20:00:00+00:00,209.1,209.43,208.43,208.63,8649570
2025-07-07 21:00:00+00:00,208.67,209.12,208.12,208.31,176868
2025-07-07 22:00:00+00:00,208.37,208.51,208.17,208.37,44004
2025-07-07 23:00:00+00:00,208.42,208.53,208.04,208.16,95103
2025-07-08 08:00:00+00:00,209.52,209.66,209.07,209.61,53270
2025-07-08 09:00:00+00:00,209.61,209.61,209.2,209.2,23930
2025-07-08 10:00:00+00:00,209.2,209.2,208.8,209.02,27448
2025-07-08 11:00:00+00:00,209.12,209.3,208.97,209.22,30417
2025-07-08 12:00:00+00:00,209.24,209.77,208.81,209.37,298606
2025-07-08 13:00:00+00:00,209.37,209.66,207.66,207.84,5841359
2025-07-08 14:00:00+00:00,207.82,210.0,207.63,209.89,6157883
2025-07-08 15:00:00+00:00,209.9,210.59,208.95,209.72,4895558
2025-07-08 16:00:00+00:00,209.73,210.35,209.43,209.55,3405143
2025-07-08 17:00:00+00:00,209.54,209.6,208.49,209.02,3393092
2025-07-08 18:00:00+00:00,208.98,209.43,208.73,208.87,2610626
2025-07-08 19:00:00+00:00,208.87,209.98,208.47,209.21,6601688
2025-07-08 20:00:00+00:00,209.18,209.37,207.97,209.21,8809399
2025-07-08 21:00:00+00:00,209.07,209.26,208.99,209.17,27686
2025-07-08 22:00:00+00:00,209.14,209.32,209.14,209.32,33516
2025-07-08 23:00:00+00:00,209.31,209.46,209.19,209.33,32854
2025-07-09 08:00:00+00:00,209.22,209.32,209.07,209.18,6359
2025-07-09 09:00:00+00:00,209.34,209.85,209.34,209.41,15867
2025-07-09 10:00:00+00:00,209.42,209.47,209.04,209.08,26783
2025-07-09 11:00:00+00:00,209.08,209.37,208.99,209.07,42893
2025-07-09 12:00:00+00:00,209.11,209.78,208.12,208.47,266759
2025-07-09 13:00:00+00:00,208.48,210.07,208.17,209.03,5573104
2025-07-09 14:00:00+00:00,209.05,209.66,206.63,206.83,7432684
2025-07-09 15:00:00+00:00,206.82,207.15,206.4,206.91,6328561
2025-07-09 16:00:00+00:00,206.92,207.62,206.72,207.39,4053090
2025-07-09 17:00:00+00:00,207.39,208.55,207.15,208.41,4054023
2025-07-09 18:00:00+00:00,208.38,209.23,208.32,209.11,3868142
2025-07-09 19:00:00+00:00,209.11,210.49,208.81,210.27,8172186
2025-07-09 20:00:00+00:00,210.26,210.38,208.8,209.92,8766646
2025-07-09 21:00:00+00:00,209.95,210.06,209.77,209.97,37388
2025-07-09 22:00:00+00:00,209.88,210.06,209.87,209.97,41722
