date,open,high,low,close,volume
2025-06-30 04:00:00+00:00,548.62,550.15,546.38,549.0,45548742
2025-07-01 04:00:00+00:00,547.09,548.07,542.05,544.37,56166736
2025-07-02 04:00:00+00:00,543.54,548.36,543.5,548.16,36538281
2025-07-03 04:00:00+00:00,550.53,554.53,550.53,553.55,26443524
2025-07-07 04:00:00+00:00,550.87,551.68,546.95,549.38,45349323
2025-07-08 04:00:00+00:00,550.73,551.35,548.46,549.69,36153258
2025-07-09 04:00:00+00:00,551.82,554.96,550.45,553.58,43045534
2025-07-10 04:00:00+00:00,554.22,554.63,550.1,552.79,34710913
2025-07-11 04:00:00+00:00,550.65,553.13,549.4,551.54,39618635
2025-07-14 04:00:00+00:00,551.33,554.28,548.99,553.54,36453314
2025-07-15 04:00:00+00:00,557.56,558.11,553.99,554.05,43277661
2025-07-16 04:00:00+00:00,554.61,557.52,548.92,554.62,52303155
2025-07-17 04:00:00+00:00,555.35,559.61,554.54,559.11,40423344
2025-07-18 04:00:00+00:00,560.42,562.02,557.3,558.57,50480824
2025-07-21 04:00:00+00:00,559.4,563.35,559.37,561.47,39595214
2025-07-22 04:00:00+00:00,561.6,561.64,555.93,558.56,43288647
2025-07-23 04:00:00+00:00,559.64,561.15,556.9,561.11,40215259
2025-07-24 04:00:00+00:00,562.42,563.53,560.59,562.3,42275541
2025-07-25 04:00:00+00:00,562.22,564.97,561.57,563.66,30630614
2025-07-28 04:00:00+00:00,565.02,566.31,564.15,565.42,31498739
2025-07-29 04:00:00+00:00,568.02,569.37,563.81,564.54,45463317
2025-07-30 04:00:00+00:00,565.46,567.88,562.34,565.3,43426423
2025-07-31 04:00:00+00:00,571.79,571.88,561.17,562.3,64613590
2025-08-01 04:00:00+00:00,556.15,556.34,549.04,551.22,69400789
2025-08-04 04:00:00+00:00,556.37,561.61,556.27,561.4,47669751
2025-08-05 04:00:00+00:00,562.68,563.84,557.05,557.58,48666640
2025-08-06 04:00:00+00:00,558.42,565.04,557.94,564.6,41823677
2025-08-07 04:00:00+00:00,568.93,570.57,562.4,566.51,44462972
2025-08-08 04:00:00+00:00,567.72,572.01,567.42,571.8,35255472
2025-08-11 04:00:00+00:00,571.94,574.04,568.83,570.1,33112917
2025-08-12 04:00:00+00:00,572.4,577.57,569.74,577.27,42271441
2025-08-13 04:00:00+00:00,579.97,580.52,576.16,577.56,41209294
2025-08-14 04:00:00+00:00,575.51,579.09,575.14,577.11,45425043
2025-08-15 04:00:00+00:00,577.02,577.06,572.82,574.57,49480161
2025-08-18 04:00:00+00:00,573.68,575.0,572.48,574.34,29830957
2025-08-19 04:00:00+00:00,573.63,573.8,565.53,566.55,53752635
2025-08-20 04:00:00+00:00,565.61,565.73,556.16,563.19,76781087
2025-08-21 04:00:00+00:00,561.64,563.77,558.29,560.58,46436899
2025-08-22 04:00:00+00:00,561.96,571.24,560.57,569.23,51502129
2025-08-25 04:00:00+00:00,567.67,570.54,566.43,567.59,34044749
2025-08-26 04:00:00+00:00,567.1,570.17,566.07,569.87,34103014
2025-08-27 04:00:00+00:00,568.85,571.65,567.64,570.74,36927144
2025-08-28 04:00:00+00:00,571.36,575.23,569.72,574.31,46787857
2025-08-29 04:00:00+00:00,571.9,572.27,565.81,567.67,56009920
2025-09-02 04:00:00+00:00,558.62,563.25,556.85,562.91,65876765
2025-09-03 04:00:00+00:00,566.5,568.95,564.01,567.34,54230213
2025-09-04 04:00:00+00:00,568.0,572.84,566.3,572.47,47526280
2025-09-05 04:00:00+00:00,577.71,578.33,568.79,573.3,68321394
2025-09-08 04:00:00+00:00,575.6,578.06,575.0,576.1,46370954
2025-09-09 04:00:00+00:00,576.89,578.16,574.27,577.73,44007592
2025-09-10 04:00:00+00:00,580.94,580.97,575.78,577.92,49307959
2025-09-11 04:00:00+00:00,580.44,582.08,578.83,581.28,44709014
2025-09-12 04:00:00+00:00,582.24,585.04,581.3,583.85,50745886
2025-09-15 04:00:00+00:00,585.62,588.95,585.48,588.84,44360315
2025-09-16 04:00:00+00:00,589.77,590.02,587.66,588.35,36942130
2025-09-17 04:00:00+00:00,588.27,588.91,581.56,587.17,69384820
2025-09-18 04:00:00+00:00,592.06,595.27,590.12,592.47,61069293
2025-09-19 04:00:00+00:00,594.47,597.17,592.99,596.48,58196109
2025-09-22 04:00:00+00:00,595.56,600.68,595.54,600.01,57154769
2025-09-23 04:00:00+00:00,600.18,600.38,594.81,596.02,64635486
2025-09-24 04:00:00+00:00,597.4,597.72,591.2,593.93,49850301
2025-09-25 04:00:00+00:00,590.04,592.95,586.36,591.37,70920209
2025-09-26 04:00:00+00:00,592.19,594.13,588.91,593.8,54337416
2025-09-29 04:00:00+00:00,596.93,599.86,595.24,596.55,48332934
2025-09-30 04:00:00+00:00,596.25,598.52,593.93,598.18,46533814
2025-10-01 04:00:00+00:00,595.0,601.59,594.17,601.05,46899612
2025-10-02 04:00:00+00:00,604.85,604.95,600.74,603.53,43765410
2025-10-03 04:00:00+00:00,604.3,605.11,599.2,600.98,46482098
2025-10-06 04:00:00+00:00,606.24,607.14,603.76,605.5,42172115
2025-10-07 04:00:00+00:00,606.8,607.49,600.84,602.31,58209463
2025-10-08 04:00:00+00:00,603.21,609.52,603.06,609.21,50629754
2025-10-09 04:00:00+00:00,609.25,609.38,605.27,608.48,45550958
2025-10-10 04:00:00+00:00,609.17,610.95,586.91,587.35,97614783
2025-10-13 04:00:00+00:00,597.5,600.76,595.06,599.82,65872584
2025-10-14 04:00:00+00:00,593.14,600.5,587.98,595.82,69203187
2025-10-15 04:00:00+00:00,601.81,604.49,593.76,600.03,62805456
2025-10-16 04:00:00+00:00,602.91,606.1,593.33,597.81,70981963
2025-10-17 04:00:00+00:00,595.77,603.31,594.2,601.73,72203372
2025-10-20 04:00:00+00:00,604.93,610.57,604.86,609.31,45761697
2025-10-21 04:00:00+00:00,609.41,610.49,607.1,609.15,44535178
