Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-05-12 00:00:00-04:00,528.1686756229391,529.5718383789062,524.1073743694976,529.5718383789062,7793600,0.0,0.0,0.0
2025-05-13 00:00:00-04:00,529.9769635896997,535.0659234971846,529.4334906323021,533.0501098632812,7356800,0.0,0.0,0.0
2025-05-14 00:00:00-04:00,533.9690880450631,535.0066382964393,531.8643139549321,533.712158203125,5031300,0.0,0.0,0.0
2025-05-15 00:00:00-04:00,531.8841147622995,536.8149966601369,531.4691067098139,536.330810546875,7362200,0.0,0.0,0.0
2025-05-16 00:00:00-04:00,537.0323776080226,539.9968415520739,535.2833848933101,539.7893676757812,7255300,0.0,0.0,0.0
2025-05-19 00:00:00-04:00,534.2260932831997,540.96531573862,534.1766976094333,540.3427734375,7766100,0.0,0.0,0.0
2025-05-20 00:00:00-04:00,538.7616590270774,539.5917354853847,535.5699387499851,538.4257202148438,7158200,0.0,0.0,0.0
2025-05-21 00:00:00-04:00,534.5027141685581,538.2379677581171,528.4848860238346,529.4236450195312,6339500,0.0,0.0,0.0
2025-05-22 00:00:00-04:00,529.2556469224985,532.8426534015092,528.1094139781261,529.6707153320312,5816600,0.0,0.0,0.0
2025-05-23 00:00:00-04:00,523.1587161820393,528.4749930958577,522.8424994523051,526.0935668945312,6455900,0.0,0.0,0.0
2025-05-27 00:00:00-04:00,532.3386615791028,537.0818523045986,530.8169250805144,536.9039916992188,6118100,0.0,0.0,0.0
2025-05-28 00:00:00-04:00,537.3485740124007,538.4454714674711,533.2180949773488,533.8406372070312,4910500,0.0,0.0,0.0
2025-05-29 00:00:00-04:00,538.6925517807217,538.8210167150148,532.3584464617888,535.8960571289062,4659500,0.0,0.0,0.0
2025-05-30 00:00:00-04:00,534.9374742021176,536.9533482070739,529.8089493617799,535.3426513671875,6171500,0.0,0.0,0.0
2025-06-02 00:00:00-04:00,533.8504876338585,538.4552612304688,531.4294969602212,538.4552612304688,5933500,0.0,0.0,0.0
2025-06-03 00:00:00-04:00,538.0799211180993,542.3684788478987,537.6451306268028,541.5087890625,4993600,0.0,0.0,0.0
2025-06-04 00:00:00-04:00,542.2498487913,543.1392120759175,540.9553686490414,541.1629028320312,4543400,0.0,0.0,0.0
2025-06-05 00:00:00-04:00,542.9711927823978,544.1075947443031,536.903969124517,538.6332397460938,6372100,0.0,0.0,0.0
2025-06-06 00:00:00-04:00,543.7814858360942,545.7775775069782,542.2004625383981,544.13720703125,4736000,0.0,0.0,0.0
2025-06-09 00:00:00-04:00,544.7696715512446,546.1531122497759,543.682725511096,544.7202758789062,4516400,0.0,0.0,0.0
2025-06-10 00:00:00-04:00,545.2439899760357,548.1688890772087,544.2162705623934,547.8230590820312,5984100,0.0,0.0,0.0
2025-06-11 00:00:00-04:00,548.8309394842792,549.6412335227296,544.3842436251888,546.3111572265625,20800600,0.0,0.0,0.0
2025-06-12 00:00:00-04:00,545.0660497325637,548.4257994758423,544.6016460233897,548.3764038085938,8422900,0.0,0.0,0.0
2025-06-13 00:00:00-04:00,543.7222117240232,546.6965669074394,540.9257171423568,542.2696533203125,7100600,0.0,0.0,0.0
2025-06-16 00:00:00-04:00,545.4021225786096,549.1077028058497,545.3329445102397,547.5068969726562,7421300,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,545.2538733762494,546.6076405229879,542.1412221833405,542.8427734375,4753300,0.0,0.0,0.0
2025-06-18 00:00:00-04:00,543.6430941100958,546.1629365245302,541.8941015256969,542.7340087890625,4602300,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,545.1846744080477,546.1728290940441,540.1451096343368,541.2320556640625,9978500,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,542.1608979485119,547.1412359311785,539.2853944850407,546.8052368164062,9820200,0.0,0.0,0.0
